candidate,action_key,target,source,mode,alpha,threshold,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,risk_proxy,base_positive_rate,up_n,down_n,up_precision_actual_1,down_precision_actual_0,up_lift_vs_base,down_lift_vs_base0,up_logloss_gain_vs_anchor,down_logloss_gain_vs_anchor,selected
core_plus_s1_q2q3,S1::residual_single_model_opt_ridge/ridge_residual_full::down_thr::a1::t0.08,S1,residual_single_model_opt_ridge/ridge_residual_full,down_thr,1.0,0.08,0.4888442898813237,0.4309734248447679,-0.0035078633325282826,-0.018571041172208258,0.0015445348168980114,-0.0015445348168980114,0.0,0.008,0.0,0.7411764705882353,0.0,1.0,,1.0,,0.7411764705882353,,1.578538499637705,True
core_plus_s1_q2q3,S2::residual_single_model_opt_ridge/ridge_residual_composite::down_thr::a0.75::t0.08,S2,residual_single_model_opt_ridge/ridge_residual_composite,down_thr,0.75,0.08,0.5554486997313678,0.5888325174670911,-0.004671705958340433,-0.03398280542834231,0.009201249105072414,-0.009201249105072414,0.0,0.052,0.0,0.5647058823529412,0.0,12.0,,0.6666666666666666,,0.2313725490196078,,0.24071153845075852,True
core_plus_s1_q2q3,anchor,S3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_plus_s1_q2q3,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up_thr::a1::t0.05,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up_thr,1.0,0.05,0.626656655249816,0.5765514023013404,-0.0041423823548090155,-0.012102982339649793,0.0042779091261598585,0.0042779091261598585,0.064,0.0,0.0,0.5411764705882353,6.0,0.0,1.0,,0.45882352941176474,,0.1714589164783703,,True
core_plus_s1_q2tiny_q3,Q1::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::down_thr::a1::t0.08,Q1,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,down_thr,1.0,0.08,0.5839094080509231,0.604293760640053,-0.006515475820704664,-0.014212110863159766,0.00936908344256825,-0.00936908344256825,0.0,0.088,0.0,0.5882352941176471,0.0,9.0,,0.7777777777777778,,0.36601307189542487,,0.13422549148539797,True
core_plus_s1_q2tiny_q3,Q2::constrained_target_blend_logit_newton/last::up_thr::a1::t0.05,Q2,constrained_target_blend_logit_newton/last,up_thr,1.0,0.05,0.6932162308973642,0.6350124356865975,0.00033637427344168636,-0.0030719336138038678,0.0005529926347772891,0.0005529926347772891,0.008,0.0,0.0,0.6823529411764706,2.0,0.0,1.0,,0.3176470588235294,,0.130557178586662,,True
core_plus_s1_q2tiny_q3,Q3::residual_single_model_opt_ridge_logit_te_full/ridge_residual_last::up_thr::a0.75::t0.08,Q3,residual_single_model_opt_ridge_logit_te_full/ridge_residual_last,up_thr,0.75,0.08,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0,0.6470588235294118,10.0,0.0,0.9,,0.2529411764705882,,0.10432169788292392,,True
core_plus_s1_q2tiny_q3,S1::residual_single_model_opt_ridge/ridge_residual_full::down_thr::a1::t0.08,S1,residual_single_model_opt_ridge/ridge_residual_full,down_thr,1.0,0.08,0.4888442898813237,0.4309734248447679,-0.0035078633325282826,-0.018571041172208258,0.0015445348168980114,-0.0015445348168980114,0.0,0.008,0.0,0.7411764705882353,0.0,1.0,,1.0,,0.7411764705882353,,1.578538499637705,True
core_plus_s1_q2tiny_q3,S2::residual_single_model_opt_ridge/ridge_residual_composite::down_thr::a0.75::t0.08,S2,residual_single_model_opt_ridge/ridge_residual_composite,down_thr,0.75,0.08,0.5554486997313678,0.5888325174670911,-0.004671705958340433,-0.03398280542834231,0.009201249105072414,-0.009201249105072414,0.0,0.052,0.0,0.5647058823529412,0.0,12.0,,0.6666666666666666,,0.2313725490196078,,0.24071153845075852,True
core_plus_s1_q2tiny_q3,anchor,S3,anchor,anchor,,,,,,,,,,,,,,,,,,,,,True
core_plus_s1_q2tiny_q3,S4::residual_single_model_opt_ridge_logit_newton/ridge_residual_last::up_thr::a1::t0.05,S4,residual_single_model_opt_ridge_logit_newton/ridge_residual_last,up_thr,1.0,0.05,0.626656655249816,0.5765514023013404,-0.0041423823548090155,-0.012102982339649793,0.0042779091261598585,0.0042779091261598585,0.064,0.0,0.0,0.5411764705882353,6.0,0.0,1.0,,0.45882352941176474,,0.1714589164783703,,True
