target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selection_mode,selector_last_guard,selector_full_cap,selector_alpha,selector_tail_guard
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,last_guard,0.0,0.004,0.0,
Q2,arith:anchor:0.80+ridge_residual_composite:0.20,0.6928603523911178,0.637620629906511,-1.9504232804723465e-05,-0.0004637393938903278,0.7967354109847794,-0.0007830690513337402,0.060262610627474414,0.65562225984655,0.7124854383748237,0.6305541715615002,0.7967354109847794,0.6858257429624638,0.637620629906511,last_guard,0.0,0.004,0.0,
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,last_guard,0.0,0.004,0.0,
S1,logit:ridge_residual_composite:0.50+ridge_residual_full:0.50,0.48994675932278003,0.44807120506319376,-0.002405393891071972,-0.0014732609537824182,0.5252831778323912,-0.0037696483059842523,0.030059591280005314,0.45352854847806007,0.46600090461753585,0.4891999860825398,0.5252831778323912,0.5206349993785943,0.44807120506319376,last_guard,0.0,0.004,0.0,
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,last_guard,0.0,0.004,0.0,
S3,arith:ridge_residual_full:0.80+ridge_residual_last:0.20,0.5116571630053628,0.6005761173401156,-0.02989421151632532,-0.0001029076504579507,0.6005761173401156,-0.0001029076504579507,0.052761453856702646,0.614137057420511,0.47548907063739204,0.4929957952540003,0.5438319487747534,0.45390618469954847,0.6005761173401156,last_guard,0.0,0.004,0.0,
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,last_guard,0.0,0.004,0.0,
